##,Player,GP,GS,Min,MinAvg,FG,FGA,FGPct,3FG,3FGA,3Pct,FT,FTA,FTPct,Off,Def,Tot,FoulAvg,PF,FO,A,TO,Blk,Stl,Pts,PtsAvg
5,"WILLIAMS-GOSS, Nigel",3,3,109,36.3,22,35,0.629,2,3,0.667,21,23,0.913,3,17,20,6.7,4,0,15,6,1,7,67,22.3
21,"DICKAU, Dan",6,6,194,32.3,39,83,0.47,20,49,0.408,35,44,0.795,5,17,22,3.7,13,0,27,14,0,4,133,22.2
24,"McPHEE, Jim",3,3,109,36.3,26,45,0.578,0,1,0,14,16,0.875,3,8,11,3.7,11,1,15,15,2,4,66,22
24,"DAVIS, Jarrod",4,4,139,34.8,30,59,0.508,13,27,0.481,13,16,0.813,1,9,10,2.5,13,1,6,8,0,6,86,21.5
15,"RILLIE, John",7,7,256,36.6,39,75,0.52,28,55,0.509,31,33,0.939,8,21,29,4.1,13,0,15,15,0,7,137,19.6
23,"ROLLINS, Lorenzo",4,4,134,33.5,31,68,0.456,8,29,0.276,8,10,0.8,3,8,11,2.8,6,0,7,6,1,6,78,19.5
3,"MORRISON, Adam",6,4,184,30.7,39,83,0.47,9,25,0.36,28,38,0.737,6,17,23,3.8,13,0,19,8,4,7,115,19.2
1,"SUGGS, Jalen",2,2,65,32.5,14,24,0.583,5,10,0.5,5,8,0.625,1,11,12,6,6,0,8,4,1,3,38,19
21,"PARHAM, Lennie",1,1,26,26,5,12,0.417,0,1,0,9,10,0.9,1,1,2,2,3,0,1,2,0,2,19,19
33,"WILTJER, Kyle",6,6,201,33.5,42,74,0.568,16,25,0.64,13,18,0.722,11,36,47,7.8,10,0,10,13,8,2,113,18.8
15,"HOLMDAHL, Bret",2,2,85,42.5,16,33,0.485,4,5,0.8,1,1,1,3,14,17,8.5,6,1,10,7,0,8,37,18.5
13,"BATISTA, J.P.",4,4,121,30.3,22,34,0.647,1,1,1,22,27,0.815,13,29,42,10.5,9,0,3,8,0,2,67,16.8
10,"STEPP, Blake",10,10,326,32.6,46,109,0.422,29,73,0.397,43,53,0.811,8,26,34,3.4,22,0,31,25,0,8,164,16.4
32,"HENDRIX, Bakari",4,4,122,30.5,27,53,0.509,1,9,0.111,10,21,0.476,13,24,37,9.3,15,2,5,13,4,0,65,16.3
15,"SPRADLEY, Doug",2,2,66,33,12,25,0.48,4,10,0.4,4,6,0.667,2,5,7,3.5,7,0,6,9,0,2,32,16
15,"CLARKE, Brandon",2,2,56,28,12,15,0.8,0,1,0,7,9,0.778,5,10,15,7.5,3,0,5,4,3,1,31,15.5
13,"SANTANGELO, Matt",10,10,353,35.3,51,124,0.411,25,59,0.424,26,31,0.839,3,31,34,3.4,15,0,63,35,3,8,153,15.3
2,"TIMME, Drew",6,4,153,25.5,38,51,0.745,0,1,0,14,25,0.56,7,21,28,4.7,12,0,13,10,1,4,90,15
34,"BROWN, Jeff",7,7,227,32.4,39,83,0.47,1,4,0.25,26,36,0.722,13,22,35,5,18,0,12,16,0,4,105,15
3,"NEMBHARD, Andrew",4,4,149,37.3,25,46,0.543,7,13,0.538,2,2,1,0,9,9,2.3,9,0,20,2,0,4,59,14.8
